Фото,Товар,Бренд,Категория,Артикул,Выручка,Продажи,Упущенная выручка,Упущенные продажи,Макс,Мин,Сред
https://basket-10.wbbasket.ru/vol1446/part144673/144673639/images/c246x328/1.webp,Эфирное масло Малина,Добропаровъ,Эфирные масла,144673639,7 552 ₽,75 шт.,"1 018,00 ₽",10 шт.,115 ₽,91 ₽,"101,52 ₽"
https://basket-16.wbbasket.ru/vol2477/part247725/247725348/images/c246x328/1.webp,"Ночник новогодний ""Снеговик и елка"" 3хLR1130 9,4см",RISALUX,Ночники,247725348,11 520 ₽,75 шт.,"25 138,00 ₽",131 шт.,156 ₽,144 ₽,"152,67 ₽"
https://basket-17.wbbasket.ru/vol2659/part265906/265906895/images/c246x328/1.webp,Верхушка на елку Звезда 17х14.5 см,Зимнее волшебство,Елочные украшения,265906895,11 850 ₽,75 шт.,"423,00 ₽",2 шт.,196 ₽,158 ₽,"169,89 ₽"
https://basket-21.wbbasket.ru/vol3685/part368527/368527962/images/c246x328/1.webp,Клипсы детские на уши для девочки,Выбражулька,Серьги,368527962,13 033 ₽,75 шт.,"898,00 ₽",5 шт.,192 ₽,158 ₽,"176,25 ₽"
https://basket-10.wbbasket.ru/vol1580/part158061/158061512/images/c246x328/1.webp,Часы настенные для кухни интерьерные,Сималенд,Часы настенные,158061512,55 118 ₽,75 шт.,"105 045,00 ₽",147 шт.,1 036 ₽,681 ₽,"823,27 ₽"
https://basket-16.wbbasket.ru/vol2566/part256697/256697735/images/c246x328/1.webp,"Лента новогодняя, упаковочная для подарков, 25 мм",Арт узор,Ленты для рукоделия,256697735,21 075 ₽,75 шт.,"10 135,00 ₽",35 шт.,317 ₽,268 ₽,"291,95 ₽"
https://basket-16.wbbasket.ru/vol2574/part257404/257404345/images/c246x328/1.webp,"Нож складной, Аполлон",Мастер К,Ножи туристические,257404345,13 929 ₽,75 шт.,"5 998,00 ₽",32 шт.,215 ₽,184 ₽,"198,22 ₽"
https://basket-17.wbbasket.ru/vol2654/part265449/265449581/images/c246x328/1.webp,Благовония,Сималенд,Благовония,265449581,6 827 ₽,74 шт.,"3 689,00 ₽",39 шт.,96 ₽,85 ₽,"89,89 ₽"
https://basket-16.wbbasket.ru/vol2603/part260391/260391226/images/c246x328/1.webp,Верхушка на елку Звезда завитки,Зимнее волшебство,Елочные украшения,260391226,12 515 ₽,74 шт.,"2 209,00 ₽",11 шт.,201 ₽,162 ₽,"173,75 ₽"
https://basket-16.wbbasket.ru/vol2598/part259808/259808046/images/c246x328/1.webp,Ветки еловые новогодние для декора,Зимнее волшебство,Елочные украшения,259808046,27 062 ₽,74 шт.,"0,00 ₽",0 шт.,416 ₽,329 ₽,"366,15 ₽"
https://basket-17.wbbasket.ru/vol2733/part273393/273393114/images/c246x328/1.webp,"Вешалка для бани и сауны ""Классика""",Добропаровъ,Аксессуары для обустройства бани,273393114,18 278 ₽,74 шт.,"20 292,00 ₽",81 шт.,247 ₽,247 ₽,"247,00 ₽"
https://basket-25.wbbasket.ru/vol4460/part446062/446062446/images/c246x328/1.webp,Кошелек на молнии,Выбражулька,Кошельки,446062446,5 917 ₽,74 шт.,"0,00 ₽",0 шт.,87 ₽,74 ₽,"80,79 ₽"
https://basket-16.wbbasket.ru/vol2580/part258022/258022123/images/c246x328/1.webp,"Подвеска светящаяся на стену ""Пара"" 36,5х24 см",Сималенд,Подвески интерьерные,258022123,15 096 ₽,74 шт.,"6 037,00 ₽",28 шт.,230 ₽,204 ₽,"216,06 ₽"
https://basket-16.wbbasket.ru/vol2583/part258354/258354596/images/c246x328/1.webp,Серьги с жемчугом Бусина графиня,Queen fair,Серьги,258354596,15 513 ₽,74 шт.,"7 857,00 ₽",37 шт.,223 ₽,193 ₽,"210,80 ₽"
https://basket-24.wbbasket.ru/vol4173/part417387/417387209/images/c246x328/1.webp,Лупа детская Животные,Сималенд,Лупы,417387209,11 156 ₽,74 шт.,"10 355,00 ₽",68 шт.,156 ₽,139 ₽,"149,58 ₽"
https://basket-12.wbbasket.ru/vol1677/part167725/167725416/images/c246x328/1.webp,Тетрадь на кольцах в клетку,Calligrata,Тетради,167725416,10 815 ₽,74 шт.,"2 403,00 ₽",16 шт.,170 ₽,137 ₽,"151,56 ₽"
https://basket-03.wbbasket.ru/vol378/part37851/37851534/images/c246x328/1.webp,Елочное украшение,Зимнее волшебство,Елочные украшения,37851534,22 955 ₽,74 шт.,"0,00 ₽",0 шт.,380 ₽,307 ₽,"334,11 ₽"
https://basket-15.wbbasket.ru/vol2319/part231962/231962931/images/c246x328/1.webp,Набор маркеров 12 цветов,Сималенд,Маркеры,231962931,18 150 ₽,74 шт.,"7 840,00 ₽",31 шт.,284 ₽,241 ₽,"262,72 ₽"
https://basket-17.wbbasket.ru/vol2738/part273835/273835107/images/c246x328/1.webp,"Маленькая елочка на стол 0,33 м",Зимнее волшебство,Елки искусственные,273835107,50 952 ₽,74 шт.,"27 687,00 ₽",39 шт.,730 ₽,561 ₽,"687,69 ₽"
https://basket-16.wbbasket.ru/vol2605/part260501/260501526/images/c246x328/1.webp,Косметичка дорожная маленькая на молнии,Сималенд,Косметички,260501526,8 417 ₽,74 шт.,"31 935,00 ₽",262 шт.,123 ₽,105 ₽,"116,14 ₽"
https://basket-14.wbbasket.ru/vol2126/part212686/212686411/images/c246x328/1.webp,"Нож складной 20,5 см",Сималенд,Ножи туристические,212686411,23 809 ₽,74 шт.,"14 587,00 ₽",45 шт.,354 ₽,303 ₽,"330,80 ₽"
https://basket-11.wbbasket.ru/vol1645/part164565/164565311/images/c246x328/1.webp,Очки солнцезащитные,OneSun,Солнцезащитные очки,164565311,5 927 ₽,74 шт.,"11 607,00 ₽",157 шт.,255 ₽,73 ₽,"98,71 ₽"
https://basket-17.wbbasket.ru/vol2635/part263510/263510559/images/c246x328/1.webp,"Фигурка сувенир световая ""Пряничный домик елочный шар""",,Фигурки,263510559,98 272 ₽,74 шт.,"310 311,00 ₽",187 шт.,1 328 ₽,1 167 ₽,"1 282,78 ₽"
https://basket-10.wbbasket.ru/vol1435/part143521/143521703/images/c246x328/1.webp,Абажур Е14 белый,RISALUX,Абажуры,143521703,20 498 ₽,74 шт.,"106 200,00 ₽",300 шт.,277 ₽,277 ₽,"277,00 ₽"
https://basket-16.wbbasket.ru/vol2432/part243254/243254664/images/c246x328/1.webp,Рюкзак дошкольный маленький в садик,Выбражулька,Рюкзаки,243254664,25 950 ₽,74 шт.,"0,00 ₽",0 шт.,440 ₽,313 ₽,"378,72 ₽"
https://basket-15.wbbasket.ru/vol2388/part238812/238812673/images/c246x328/1.webp,Лоток для бумаг Лидер,Стамм,Лотки для бумаг,238812673,18 884 ₽,74 шт.,"15 989,00 ₽",61 шт.,261 ₽,213 ₽,"234,65 ₽"
https://basket-16.wbbasket.ru/vol2432/part243254/243254664/images/c246x328/1.webp,Рюкзак дошкольный маленький в садик,Выбражулька,Рюкзаки,243254664,25 950 ₽,74 шт.,"0,00 ₽",0 шт.,440 ₽,313 ₽,"378,72 ₽"
https://basket-10.wbbasket.ru/vol1492/part149220/149220388/images/c246x328/1.webp,Ремешок для часов 22 мм экокожа,Сималенд,Браслеты для часов,149220388,8 911 ₽,74 шт.,"429,00 ₽",3 шт.,125 ₽,108 ₽,"120,25 ₽"
https://basket-11.wbbasket.ru/vol1646/part164605/164605794/images/c246x328/1.webp,"Дюбель для плоского кабеля, 10 мм, 100 шт",Тундра,Дюбели,164605794,10 652 ₽,74 шт.,"0,00 ₽",0 шт.,165 ₽,137 ₽,"144,84 ₽"
https://basket-25.wbbasket.ru/vol4460/part446062/446062408/images/c246x328/1.webp,Кошелек на молнии цвет желтый,Сималенд,Кошельки,446062408,6 214 ₽,74 шт.,"0,00 ₽",0 шт.,96 ₽,81 ₽,"88,36 ₽"
https://basket-11.wbbasket.ru/vol1645/part164517/164517072/images/c246x328/1.webp,"Термосумка для ланча, сумка для обеда",Сималенд,Термосумки,164517072,16 064 ₽,74 шт.,"32 756,00 ₽",151 шт.,346 ₽,186 ₽,"225,95 ₽"
