Фото,Товар,Бренд,Артикул,Предмет,Выручка,Продажи,Упущенная выручка,Упущенные продажи,Макс,Мин,Сред
https://cdn1.ozone.ru/s3/multimedia-1-u/8049838350.jpg,"Подставка для украшений 33 см бюст-органайзер, витринный дисплей для цепочек и бус",Queen Fair,1528986979,подставка для украшений,1 138 ₽,2 шт.,"0,00 ₽",0 шт.,1 035 ₽,553 ₽,"676,07 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-y/7934220142.jpg,"Серьги женские бижутерия пластик ""Вивьен"" лимоны / цвет желто-белый",Queen Fair,2202536173,серьги,1 134 ₽,4 шт.,"0,00 ₽",0 шт.,422 ₽,239 ₽,"335,87 ₽"
https://cdn1.ozone.ru/s3/multimedia-6/6456755118.jpg,"Ёлочный Елочный шар на елку Шишки , батарейки, 5 LED, свечение белое",Luazon Lighting,1735260232,елочные украшения,1 134 ₽,4 шт.,"0,00 ₽",0 шт.,406 ₽,255 ₽,"352,03 ₽"
https://cdn1.ozone.ru/s3/multimedia-6/6691386318.jpg,"Креманка ""Айс крим"" с ложечкой, латунь 9 см",,1147037223,"креманка, розетка",1 128 ₽,1 шт.,"0,00 ₽",0 шт.,1 360 ₽,1 091 ₽,"1 190,40 ₽"
https://cdn1.ozone.ru/s3/multimedia-j/6747077539.jpg,"Светодиодная фигура новогодняя Тыква 6х9х6 см, пластик, свечение тёплое белое",Luazon Lighting,1017302439,фигурка светящаяся,1 121 ₽,3 шт.,"0,00 ₽",0 шт.,405 ₽,340 ₽,"368,97 ₽"
https://cdn1.ozone.ru/s3/multimedia-z/6728293187.jpg,"Брошь ""Змея"" извилистая, цвет золото",Queen Fair,2208116524,брошь,1 120 ₽,5 шт.,"0,00 ₽",0 шт.,243 ₽,208 ₽,"218,40 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-a/7435091998.jpg,"Ручка мебельная для шкафа, скоба, м/о 96 мм, металлическая",Cappio,2202382851,ручка мебельная,1 116 ₽,5 шт.,"0,00 ₽",0 шт.,227 ₽,219 ₽,"223,00 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-4/7086969148.jpg,"Набор для плетения из паракорда, 10 предметов, с деревянным станком, иглами, фастексами",,1641394949,машинка для вязания,1 116 ₽,1 шт.,"0,00 ₽",0 шт.,1 148 ₽,1 014 ₽,"1 091,64 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-t/7778458505.jpg,"Greengo Опрыскиватель для растений 0,45 л пластиковый",Greengo,2202389475,опрыскиватель для растений,1 115 ₽,5 шт.,"0,00 ₽",0 шт.,331 ₽,203 ₽,"243,93 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-4/7187763208.jpg,"Ёлочная игрушка Домик с оленем , от батареек, свечение тёплое белое",Luazon Lighting,1735351051,елочные украшения,1 114 ₽,6 шт.,"0,00 ₽",0 шт.,245 ₽,174 ₽,"220,50 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-4/7226461120.jpg,"Шкатулка для украшений / ""Японский сад"" 18х12х9,5 / Органайзер для швейных принадлежностей",Сима-ленд,1257499586,шкатулка,1 112 ₽,1 шт.,"0,00 ₽",0 шт.,1 412 ₽,875 ₽,"1 194,70 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-i/7219836018.jpg,"Часы настенные для интерьера, серия: Классика ""Вермонт"" белое золото, 45.5 см",Сима-ленд,239675795,настенные часы,1 111 ₽,1 шт.,"4 233,00 ₽",4 шт.,1 126 ₽,973 ₽,"1 057,98 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-v/8001400171.jpg,"Комплект украшений для женщин, набор 3 предмета: серьги, бусы, браслет / искусственный жемчуг",Queen Fair,2202326503,комплект украшений,1 108 ₽,4 шт.,"0,00 ₽",0 шт.,314 ₽,239 ₽,"275,80 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-l/8081872869.jpg,"Мужской банный набор, белый, 5 предметов / Подарочный набор для сауны и бани / полотенце, шапка, рукавица, коврик, сумка",Добропаровъ,2205757047,набор банных принадлежностей,1 105 ₽,1 шт.,"0,00 ₽",0 шт.,1 546 ₽,1 087 ₽,"1 223,60 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-d/7148650585.jpg,"Мебельная ручка рейлинг, облегченная, м/о 160 мм, цвет матовый никель",Cappio,2202343022,ручка мебельная,1 100 ₽,5 шт.,"0,00 ₽",0 шт.,246 ₽,213 ₽,"226,47 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-q/7856376650.jpg,"Виниловая пленка карбон 4D черная 50 150 см пленка для авто, бампера, интерьера и мебели",,2202369584,пленка виниловая,1 096 ₽,2 шт.,"4 427,00 ₽",8 шт.,802 ₽,408 ₽,"591,38 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-w/8143957508.jpg,"Маятник ""Манеки-нэко белый"" 21х14х11,3 см",Sima-land,840523304,маятник-антистресс,1 092 ₽,1 шт.,"0,00 ₽",0 шт.,1 163 ₽,1 002 ₽,"1 082,04 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-m/7476893302.jpg,"Ручка мебельная, профиль, скрытая, торцевая, м/о 128 мм",Cappio,2202391901,ручка мебельная,1 091 ₽,5 шт.,"8 040,00 ₽",36 шт.,221 ₽,207 ₽,"213,96 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-w/7832002568.jpg,"Флорариум ""Каплевидная"" / для декора, интерьера",,1233154008,комнатные растения,1 089 ₽,2 шт.,"30 889,00 ₽",55 шт.,633 ₽,494 ₽,"544,31 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-9/7796142297.jpg,"Зубило плоское ЛОМ, арматурная сталь, без рукоятки, 200 х 20 мм",ЛОМ,2202364166,зубило,1 088 ₽,4 шт.,"0,00 ₽",0 шт.,430 ₽,256 ₽,"304,67 ₽"
https://cdn1.ozone.ru/s3/multimedia-2/6072215462.jpg,"Лампа для гель-лака JessNail SUN 5 BL, UV/LED, 48 Вт, таймер 10/30/60 сек, розовая",JessNail,282443908,лампа для маникюра,1 080 ₽,1 шт.,"0,00 ₽",0 шт.,1 191 ₽,981 ₽,"1 081,67 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-u/7380036426.jpg,"Набор шестигранников, шестигранные ключи, 9 шт",ЛОМ,2202357009,набор ключей,1 075 ₽,4 шт.,"0,00 ₽",0 шт.,467 ₽,219 ₽,"336,33 ₽"
https://cdn1.ozone.ru/s3/multimedia-i/6197799498.jpg,"Светильник настенный бра в розетку ""Классика"" 1*10Вт Е27 белый 10*14,5*25 см",BayerLux,2202380858,бра,1 066 ₽,2 шт.,"43 465,00 ₽",79 шт.,571 ₽,482 ₽,"526,92 ₽"
